Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,27.84,1.29,18.40,1.51,7.44,22.65,31.16,51.65,6.69,1.90,3.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FOX
TYC,Tyco International,Industrials,45.59,0.00,,1.23,0.00,28.94,46.19,,0.00,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TYC
TSN,Tyson Foods,Consumer Staples,61.71,1.57,13.62,4.53,25.69,48.52,77.05,23.08,3.57,0.62,2.40,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSN
USB,U.S. Bancorp,Financials,52.04,2.21,16.11,3.23,24.79,37.07,52.29,88.45,0.00,4.61,2.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=USB
UDR,UDR Inc,Financials,34.33,3.52,41.56,0.83,10.76,32.79,38.61,9.17,0.60763,9.41,3.18,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UDR
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,250.64,0.00,42.01,5.97,23.30,146.77,278.63,15.60,0.7970900000000001,3.47,10.87,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ULTA
UA,Under Armour,Consumer Discretionary,28.72,,63.82,0.45,4.39,26.02,47.95,12.58,0.57156,2.69,6.57,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UA
UNP,Union Pacific,Industrials,105.215,2.280,21.085,4.990,24.581,67.060,106.620,86.71,9.26,4.346,4.287,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNP
UAL,United Continental Holdings,Industrials,75.05,0.00,9.58,7.83,26.55,37.41,76.13,23.81,7.07,0.63,2.74,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UAL
UNH,United Health Group Inc.,Health Care,159.6095,1.5700,23.5760,6.7700,39.5500,107.5100,162.5200,151.92,13.79,0.8383,4.0283,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNH
UPS,United Parcel Service,Industrials,119.73,2.68,21.33,5.61,3.14,87.30,119.77,104.48,10.16,1.73,37.92,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UPS
URI,"United Rentals, Inc.",Industrials,107.73,,16.62,6.48,18.17,41.90,109.90,9.07,1.72,1.58,5.96,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=URI
UTX,United Technologies,Industrials,109.88,2.41,12.55,8.75,35.45,83.39,110.00,90.48,10.16,1.57,3.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UTX
